

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:00:56 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.042467407, A.D. 2021-Dec-25 13:01:09.1840, -1.063397776206115E+07,  1.473427088553773E+08,  1.738021802212298E+04, -2.506150459064233E+01,  3.792713050995484E+00, -2.917985612909433E+00,
2459574.052884074, A.D. 2021-Dec-25 13:16:09.1840, -1.065748171502768E+07,  1.473460161414906E+08,  1.487426473458111E+04, -2.692838023862490E+01,  3.491467216587882E+00, -2.641730433922182E+00,
2459574.063300741, A.D. 2021-Dec-25 13:31:09.1840, -1.068217737580785E+07,  1.473489685261182E+08,  1.261431315812469E+04, -2.785804407995564E+01,  3.076046010717708E+00, -2.390640359273362E+00,
2459574.073717407, A.D. 2021-Dec-25 13:46:09.1840, -1.070751328073209E+07,  1.473515724187793E+08,  1.055375493337214E+04, -2.840142361454850E+01,  2.721976366462046E+00, -2.196770287625341E+00,
2459574.084134074, A.D. 2021-Dec-25 14:01:09.1840, -1.073324425855492E+07,  1.473538873037238E+08,  8.647394385635853E+03, -2.875592857411212E+01,  2.431704582924281E+00, -2.045485049951129E+00,
2459574.094550741, A.D. 2021-Dec-25 14:16:09.1840, -1.075924275187429E+07,  1.473559644246509E+08,  6.862946156494319E+03, -2.900515257007069E+01,  2.191322429372529E+00, -1.924129338344241E+00,
2459574.104967407, A.D. 2021-Dec-25 14:31:09.1840, -1.078543436812636E+07,  1.473578429878597E+08,  5.177552971266210E+03, -2.918991929985262E+01,  1.988730917684547E+00, -1.824229407030162E+00,
2459574.115384074, A.D. 2021-Dec-25 14:46:09.1840, -1.081177200801627E+07,  1.473595527865810E+08,  3.574595056124032E+03, -2.933240468937458E+01,  1.815043181923015E+00, -1.740181907388692E+00,
2459574.125800741, A.D. 2021-Dec-25 15:01:09.1840, -1.083822397470945E+07,  1.473611168034161E+08,  2.041620305918157E+03, -2.944566230180235E+01,  1.663872310195420E+00, -1.668188983959500E+00,
2459574.136217407, A.D. 2021-Dec-25 15:16:09.1840, -1.086476791177601E+07,  1.473625531089562E+08,  5.690419151112437E+02, -2.953786899402546E+01,  1.530581768696203E+00, -1.605596870359375E+00,
