random crap
$$SOE
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2459574.042467407, A.D. 2021-Dec-25 13:01:09.1840, -1.063397776206115E+07,  1.473427088553773E+08,  1.738021802212298E+04, -2.506150459064233E+01,  3.792713050995484E+00, -2.917985612909433E+00,  4.927607209775134E+02,  1.477259477477009E+08,  5.586570231580778E+00,
2459575.042467407, A.D. 2021-Dec-26 13:01:09.1840, -1.322794010220000E+07,  1.473482693525035E+08, -7.113827692925185E+04, -3.030713796856028E+01, -9.803590487093374E-01, -6.624381095958749E-01,  4.934775672284503E+02,  1.479408528472773E+08,  1.733759920367043E+00,
2459576.042467407, A.D. 2021-Dec-27 13:01:09.1840, -1.584652554771059E+07,  1.472210739728592E+08, -1.196534142522067E+05, -3.029575369948188E+01, -1.906074829342117E+00, -4.863738244498577E-01,  4.939133839826542E+02,  1.480715074232578E+08,  1.347499267742073E+00,
2459577.042467407, A.D. 2021-Dec-28 13:01:09.1840, -1.846200810336095E+07,  1.470242893131210E+08, -1.575519623648450E+05, -3.024434481589469E+01, -2.632098992577398E+00, -3.982913945766512E-01,  4.942718975474812E+02,  1.481789870860836E+08,  1.157057490058436E+00,
2459578.042467407, A.D. 2021-Dec-29 13:01:09.1840, -2.107228558260056E+07,  1.467681403945099E+08, -1.892894595284984E+05, -3.017664429422750E+01, -3.289264393593245E+00, -3.397173136150018E-01,  4.945864082397829E+02,  1.482732750195960E+08,  1.033200035983556E+00,
2459579.042467407, A.D. 2021-Dec-30 13:01:09.1840, -2.367621016215964E+07,  1.464569438627315E+08, -2.166878637557849E+05, -3.009766494688576E+01, -3.909738470637984E+00, -2.963781400983656E-01,  4.948707080122627E+02,  1.483585059471965E+08,  9.440275339280741E-01,
2459580.042467407, A.D. 2021-Dec-31 13:01:09.1840, -2.627287795847962E+07,  1.460931820131299E+08, -2.407591977830008E+05, -3.000879599902069E+01, -4.507625864058984E+00, -2.620066391367148E-01,  4.951325016404496E+02,  1.484369897024794E+08,  8.754361694267280E-01,
2459581.042467407, A.D. 2022-Jan-01 13:01:09.1840, -2.886146124061249E+07,  1.456784724895680E+08, -2.621300930989087E+05, -2.991058038772315E+01, -5.089923997197000E+00, -2.334930425465007E-01,  4.953765982185047E+02,  1.485101680156039E+08,  8.203607249641015E-01,
2459582.042467407, A.D. 2022-Jan-02 13:01:09.1840, -3.144116386154547E+07,  1.452139770267499E+08, -2.812244518671036E+05, -2.980325230962538E+01, -5.660575650514194E+00, -2.090853688662171E-01,  4.956062616061234E+02,  1.485790193670908E+08,  7.747597030224891E-01,
2459583.042467407, A.D. 2022-Jan-03 13:01:09.1840, -3.401120451177292E+07,  1.447005913439263E+08, -2.983467762668878E+05, -2.968693907400502E+01, -6.221952504195475E+00, -1.877009950961610E-01,  4.958238377068291E+02,  1.486442470411234E+08,  7.361492400047968E-01,
