

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 28 15:03:51 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2022-May-21 00:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459574.042467407, A.D. 2021-Dec-25 13:01:09.1840, -1.101920954613747E+07,  1.474441754835995E+08,  5.252876157603413E+04, -3.042813297750702E+01, -2.996893957496610E+00, -2.593969373264726E-02,
2459574.052884074, A.D. 2021-Dec-25 13:16:09.1840, -1.104659367481545E+07,  1.474414755280418E+08,  5.250532130622864E+04, -3.042548579628336E+01, -3.003006418936922E+00, -2.614978337226992E-02,
2459574.063300741, A.D. 2021-Dec-25 13:31:09.1840, -1.107397541965324E+07,  1.474387700735999E+08,  5.248169198659807E+04, -3.042283555658759E+01, -3.009113699144735E+00, -2.635980422897433E-02,
2459574.073717407, A.D. 2021-Dec-25 13:46:09.1840, -1.110135477790289E+07,  1.474360591249399E+08,  5.245787367958575E+04, -3.042018226882329E+01, -3.015215790888155E+00, -2.656975515328996E-02,
2459574.084134074, A.D. 2021-Dec-25 14:01:09.1840, -1.112873174682583E+07,  1.474333426867350E+08,  5.243386644864082E+04, -3.041752594341847E+01, -3.021312686948595E+00, -2.677963499442360E-02,
2459574.094550741, A.D. 2021-Dec-25 14:16:09.1840, -1.115610632369289E+07,  1.474306207636643E+08,  5.240967035825551E+04, -3.041486659082571E+01, -3.027404380120844E+00, -2.698944260026259E-02,
2459574.104967407, A.D. 2021-Dec-25 14:31:09.1840, -1.118347850578430E+07,  1.474278933604138E+08,  5.238528547396511E+04, -3.041220422152210E+01, -3.033490863213140E+00, -2.719917681737249E-02,
2459574.115384074, A.D. 2021-Dec-25 14:46:09.1840, -1.121084829038977E+07,  1.474251604816757E+08,  5.236071186234802E+04, -3.040953884600932E+01, -3.039572129047241E+00, -2.740883649099968E-02,
2459574.125800741, A.D. 2021-Dec-25 15:01:09.1840, -1.123821567480841E+07,  1.474224221321488E+08,  5.233594959101081E+04, -3.040687047481367E+01, -3.045648170458495E+00, -2.761842046507157E-02,
2459574.136217407, A.D. 2021-Dec-25 15:16:09.1840, -1.126558065634889E+07,  1.474196783165383E+08,  5.231099872857332E+04, -3.040419911848609E+01, -3.051718980295916E+00, -2.782792758219643E-02,
